"TMDB_ID","GENRE_NAME"
9963,"Mystery"
14001,"Horror"
2355,"Drama"
7485,"Action"
7485,"Drama"
7485,"Mystery"
7485,"Thriller"
7485,"Crime"
1273,"Comedy"
1273,"Adventure"
1273,"Fantasy"
1273,"Action"
1273,"Science Fiction"
1273,"Family"
8270,"Crime"
8270,"Drama"
8270,"Thriller"
9955,"Action"
9955,"Comedy"
9955,"Drama"
1683,"Horror"
1267,"Animation"
1267,"Comedy"
1267,"Family"
13377,"Animation"
13377,"Family"
13377,"Comedy"
7183,"Crime"
7183,"Drama"
7183,"Mystery"
7183,"Thriller"
8271,"Thriller"
8271,"Drama"
8271,"Mystery"
1534,"Action"
6145,"Thriller"
10294,"Horror"
10294,"Thriller"
1268,"Comedy"
1268,"Family"
14636,"Action"
14636,"Thriller"
559,"Fantasy"
559,"Action"
559,"Adventure"
11798,"Drama"
11798,"Crime"
4964,"Comedy"
4964,"Romance"
4964,"Drama"
2976,"Comedy"
2976,"Music"
2976,"Romance"
1562,"Horror"
1562,"Thriller"
1562,"Science Fiction"
810,"Fantasy"
810,"Adventure"
810,"Animation"
810,"Comedy"
810,"Family"
5723,"Drama"
5723,"Music"
5723,"Romance"
285,"Adventure"
285,"Fantasy"
285,"Action"
3432,"Drama"
3432,"Crime"
3432,"Mystery"
3432,"Thriller"
14207,"Thriller"
14207,"Adventure"
14207,"Action"
14207,"Comedy"
14207,"Drama"
14207,"Fantasy"
14207,"Romance"
3489,"Crime"
3489,"Mystery"
3489,"Thriller"
12225,"Drama"
12225,"Comedy"
12225,"Romance"
298,"Crime"
298,"Thriller"
1691,"Horror"
9408,"Animation"
9408,"Comedy"
9408,"Family"
1991,"Action"
1991,"Thriller"
9952,"Adventure"
9952,"Drama"
9952,"War"
2359,"Documentary"
3021,"Horror"
3021,"Thriller"
2196,"Comedy"
2196,"Drama"
1571,"Action"
1571,"Thriller"
2959,"Comedy"
2698,"Fantasy"
2698,"Comedy"
2698,"Family"
1858,"Adventure"
1858,"Science Fiction"
1858,"Action"
675,"Adventure"
675,"Fantasy"
675,"Family"
675,"Mystery"
3563,"Comedy"
3563,"Romance"
4688,"Adventure"
4688,"Drama"
4688,"Music"
4688,"Romance"
10074,"Action"
10074,"Comedy"
2270,"Adventure"
2270,"Fantasy"
2270,"Romance"
2270,"Family"
35,"Animation"
35,"Comedy"
35,"Family"
3638,"Comedy"
8669,"Comedy"
8669,"Drama"
2503,"Action"
2503,"Drama"
2503,"Mystery"
2503,"Thriller"
8363,"Comedy"
5174,"Action"
5174,"Comedy"
5174,"Crime"
5174,"Thriller"
9703,"Action"
9703,"Adventure"
9703,"Fantasy"
9703,"War"
9750,"Comedy"
9750,"Crime"
10760,"Comedy"
4349,"Thriller"
4349,"Action"
4349,"Drama"
4858,"Thriller"
10431,"Action"
10431,"Thriller"
10431,"Crime"
12435,"Comedy"
12435,"Drama"
12435,"Romance"
19585,"Fantasy"
19585,"Action"
19585,"Adventure"
19585,"Family"
19585,"Comedy"
17336,"Adventure"
17336,"Drama"
17336,"Action"
17336,"Thriller"
17336,"Crime"
18533,"Drama"
18533,"Action"
18533,"Crime"
24150,"Horror"
